brand,channel,ad_library_id,start_date,creative_type,headline,cta,landing_domain
Last Z: Survival Shooter,Meta,1888360665119011,2026-01-05,Video,"Many failed before! Think you can do better?","Install Now",itunes.apple.com
Coca-Cola,Meta,1975397906525654,2026-01-05,Image,"Sign up for your chance to win big prizes. FIFA World Cup 26™ tix, signed gear, gift cards, and more are all in play.","Learn More","coca-cola.com"
Coca-Cola,Meta,2117517905745016,2026-01-05,Image,"Sign up for your chance to win big prizes. FIFA World Cup 26™ tix, signed gear, gift cards, and more are all in play.","Learn More","coca-cola.com"

Canva,Meta,1397212931926621,2026-01-01,Image,"Canva’s video templates aren’t made for scrolling past. They’re designed to convert. All that’s missing is for you to make them your own.","Learn More","canva.com"
Canva,Meta,1165882955745965,2026-01-01,Image,"One scroll through Canva’s templates and you’ll never run out of content ideas.","Learn More","canva.com"
Canva,Meta,1874242836857729,2026-01-01,Image,"Presentation day? It’s your moment. Own it with Canva templates that help you shine without stressing over layout design.","Learn More","canva.com"

ŌURA,Meta,1453086799503335,2025-12-20,Image,"For those looking to learn more about their body, including everything from sleep to stress levels, there’s one ring that can do it all.","Learn More","ouraring.com"
ŌURA,Meta,1358909335409922,2025-12-20,Image,"Make health a daily practice with Oura Ring 4. Get insights into your sleep, heart health, stress, activity, and more.","Learn More","ouraring.com"
ŌURA,Meta,1236774921845338,2025-12-20,Image,"Crafted for style, engineered for accuracy. Oura Ring 4 Ceramic brings advanced sleep, stress, and heart health insights in a design made to last.","Learn More","ouraring.com"

Shopee,Meta,336643329440633,2024-05-13,Image,"Com a Garantia Shopee você tem direito à reembolso e sua compra fica mais segura. Baixe o app agora!","Install Now","shopee.com"
Apple,Meta,1160423556207534,2025-11-05,Image,"Save on a new iPhone 17, iPhone Air, or iPhone 17 Pro by trading in your Android phone.","Learn More",apple.com
Apple,Meta,1596752948346192,2025-12-28,Image,"Save on a new iPhone 17, iPhone Air, or iPhone 17 Pro by trading in your Android phone.","Learn More",apple.com
Apple,Meta,750135924181951,2025-12-28,Image,"Save on a new iPhone 17, iPhone Air, or iPhone 17 Pro by trading in your current iPhone.","Learn More",apple.com
Apple,Meta,1306130384892382,2026-01-16,Image,"Next-generation performance meets powerful on-device AI.","Learn More",apple.com
Coca-Cola,Meta,1975397906525654,2026-01-05,Image,"Sign up for your chance to win big prizes. FIFA World Cup 26™ tix, signed gear, gift cards, and more are all in play.","Learn More",cokeurl.com
Coca-Cola,Meta,2117517905745016,2026-01-05,Image,"Sign up for your chance to win big prizes. FIFA World Cup 26™ tix, signed gear, gift cards, and more are all in play.","Learn More",cokeurl.com
Nike,Meta,1016451784037642,2025-06-20,Image,"Get the gear that goes hard on and off the field.","Shop Now",nike.com
Nike,Meta,1700063364126216,2024-10-09,Image,"Shop our best offers online NOW and get FREE standard delivery on orders over €70!","Shop Now",nike.com
Shopee,Meta,336643329440633,2024-05-13,Image,"Com a Garantia Shopee você tem direito à reembolso e sua compra fica mais segura. Baixe o app agora!","Install Now",shopee.com
Shopee,Meta,1397212931926621,2026-01-01,Image,"Baixe o app agora e aproveite ofertas exclusivas com garantia Shopee!","Install Now",shopee.com
SCOTTeVEST,Meta,841334971179178,2024-10-14,Image,"Pockets for your passport, phone, wallet, water bottle, iPad, keys and so much more.","Shop Now",scottevest.com
SCOTTeVEST,Meta,1192180238749624,2024-10-14,Image,"Pockets for your passport, phone, wallet, water bottle, iPad, keys and so much more.","Shop Now",scottevest.com
SCOTTeVEST,Meta,1928370521053399,2025-11-12,Image,"How would you use more pockets? For us, it's about smarter travel, less baggage fees, and quick access to all our things.","Shop Now",scottevest.com
SCOTTeVEST,Meta,925049167141658,2026-01-22,Image,"The Evorev isn’t just another jacket, it’s the culmination of 25 years of pocket science. Carry everything you need hands-free.","Shop Now",scottevest.com
SUAVS,Meta,2310436316064795,2025-09-23,Video,"Meet the Zilker sneaker: The most comfortable shoe on the planet. Wear them anywhere, even sockless.","Shop Now",suavs.com
SUAVS,Meta,4051111908537428,2025-09-08,Video,"The only shoes you need for travel. Lightweight. Breathable. Washable. Packable.","Shop Now",suavs.com
Polk Audio,Meta,1607424203577956,2025-11-18,Video,"A massive upgrade that delivers exceptional audio at an approachable price. Check out Polk Signa S4.","Shop Now",polkaudio.com
Polk Audio,Meta,1943425789776505,2025-09-18,Image,"Polk sound bars deliver powerful, immersive audio for movies, music, and games.","Shop Now",polkaudio.com
Rappi,Meta,832064069560072,2025-11-05,Video,"La forma de registrar tu restaurante en Rappi cambió… ¡para mejor! Regístrate fácilmente ahora.","Install Now",rappi.com
JapanWireless,Meta,1599001074429645,2025-11-19,Video,"Unlimited data, full-speed 5G, and setup in minutes. Your best travel buddy in Japan.","Learn More",japanwireless.com
Tile Club,Meta,4220848294865860,2025-06-30,Video,"The only puzzle game you need.","Install Now",itunes.apple.com
Tile Club,Meta,1805851743369634,2025-09-25,Video,"Play the best tile game ever! Are you ready to take your love for tiles to a new level?","Install Now",itunes.apple.com
Tile Club,Meta,869434859373216,2025-12-15,Video,"Your 10-Min Brain Boost! Daily Moment of Zen.","Install Now",itunes.apple.com
Tile Club,Meta,641611348952169,2025-07-31,Video,"Play Now For Free. The only puzzle game you need.","Install Now",itunes.apple.com
